#airframe_info, log_version="1.00", airframe_name="Diamond DA 40", unit_software_part_number="006-B0319-7G", unit_software_version="9.15", system_software_part_number="006-B0321-22", system_id="2274699FF", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,   gals,   gals,      gph,      psi,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  FQtyL,  FQtyR, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2014-01-14, 11:16:17,  -05:00,       ,             ,             ,        , 30.05,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  18.3,  16.66,  16.66,     0.00,    21.49,   45.85,    0.29,  29.47,    0.0,   42.11,   44.49,   41.34,   44.11,   42.12,   45.21,   41.15,   45.00,        ,    ,  GPS,  232.8, 109.00, 109.65, 123.500, 121.500,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2014-01-14, 11:16:17,  -05:00,       ,             ,             ,        , 30.05,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  18.3,  16.66,  16.66,     0.00,    21.49,   45.85,    0.29,  29.47,    0.0,   42.11,   44.49,   41.34,   44.11,   42.12,   45.21,   41.15,   45.00,        ,    ,  GPS,  232.8, 109.00, 109.65, 123.500, 121.500,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2014-01-14, 11:16:18,  -05:00,       ,             ,             ,        , 30.05,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  23.2,  16.66,  16.66,     1.50,    27.10,   45.85,    1.40,  29.22,  292.8,   42.06,   44.48,   41.37,   44.11,   71.75,   71.59,   41.55,   44.28,        ,    ,  GPS,  232.8, 109.00, 109.65, 123.500, 121.500,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2014-01-14, 11:16:19,  -05:00,       ,             ,             ,        , 30.05,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  23.8,  16.66,  16.66,     5.59,    19.97,   45.84,    0.90,  29.46,  169.2,   42.07,   44.48,   41.35,   44.10,   89.61,  100.44,   40.93,   43.01,        ,    ,  GPS,  232.8, 109.00, 109.65, 123.500, 121.500,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2014-01-14, 11:16:20,  -05:00,       ,             ,             ,        , 30.05,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  23.9,  16.66,  16.66,     3.38,    19.73,   45.79,    0.30,  29.52,   76.5,   42.12,   44.51,   41.35,   44.10,   86.20,   97.03,   40.44,   42.35,        ,    ,  GPS,  232.8, 109.00, 109.65, 123.500, 121.500,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2014-01-14, 11:16:21,  -05:00,       ,             ,             ,        , 30.05,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  23.9,  16.66,  16.66,     0.89,    23.15,   45.73,    0.24,  29.52,    0.2,   42.17,   44.55,   41.36,   44.11,   81.81,   92.67,   40.34,   42.36,        ,    ,  GPS,  232.8, 109.00, 109.65, 123.500, 121.500,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2014-01-14, 11:16:22,  -05:00,       ,             ,             ,        , 30.05,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  23.9,  16.66,  16.66,     0.36,    22.87,   45.68,    0.23,  29.52,    0.0,   42.19,   44.54,   41.35,   44.10,   78.78,   89.35,   40.34,   42.50,        ,    ,  GPS,  232.8, 109.00, 109.65, 123.500, 121.500,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2014-01-14, 11:16:23,  -05:00,       ,             ,             ,        , 30.05,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  19.0,  16.66,  16.66,     0.19,    27.05,   45.65,    0.30,  29.46,    0.0,   42.24,   44.55,   41.35,   44.10,   76.41,   86.77,   40.72,   42.62,        ,    ,  GPS,  232.8, 109.00, 109.65, 123.500, 121.500,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2014-01-14, 11:16:24,  -05:00,       ,             ,             ,        , 30.05,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  23.6,  16.66,  16.66,     3.09,    27.03,   45.60,   55.59,  27.96,  926.5,   42.27,   44.60,   41.38,   44.11,  136.50,  188.55,  139.64,  139.51,        ,   0,  GPS,  232.8, 109.00, 109.65, 123.500, 121.500,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2014-01-14, 11:16:25,  -05:00,       ,             ,             ,   616.8, 30.05,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  23.9,  16.66,  16.66,     7.35,    26.38,   45.50,   76.66,  22.97, 1484.8,   42.33,   44.64,   41.44,   44.16,  353.76,  420.45,  372.56,  386.34,        ,   0,  GPS,  232.8, 109.00, 109.65, 123.500, 121.500,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
