#airframe_info, log_version="1.00", airframe_name="Diamond DA 40", unit_software_part_number="006-B0319-7G", unit_software_version="9.15", system_software_part_number="006-B0321-22", system_id="2A33445A7", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,   gals,   gals,      gph,      psi,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  FQtyL,  FQtyR, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2013-10-09, 14:12:19,  -06:00,       ,             ,             ,        , 30.19,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  16.66,  16.66,     0.00,     3.96,  141.07,    0.21,  29.51,    0.0,  141.08,  138.63,  145.24,  142.90,  114.41,  115.30,  118.28,  115.50,        ,    ,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:19,  -06:00,       ,             ,             ,        , 30.19,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  16.66,  16.66,     0.00,     3.96,  141.07,    0.21,  29.51,    0.0,  141.08,  138.63,  145.24,  142.90,  114.41,  115.30,  118.28,  115.50,        ,    ,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:20,  -06:00,       ,             ,             ,        , 30.19,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  16.66,  16.66,     0.00,     3.96,  141.07,    0.21,  29.51,    0.0,  141.09,  138.63,  145.24,  142.93,  114.42,  115.31,  118.30,  115.52,        ,    ,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:21,  -06:00,       ,             ,             ,        , 30.19,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  16.66,  16.66,     0.00,     3.96,  141.07,    0.21,  29.51,    0.0,  141.06,  138.59,  145.23,  142.90,  114.41,  115.29,  118.28,  115.50,        ,    ,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:22,  -06:00,       ,             ,             ,        , 30.19,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  16.66,  16.66,     0.00,     3.96,  141.07,    0.21,  29.51,    0.0,  141.05,  138.58,  145.21,  142.88,  114.38,  115.27,  118.26,  115.48,        ,    ,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:23,  -06:00,       ,             ,             ,        , 30.19,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  16.66,  16.66,     0.00,     3.95,  141.06,    0.21,  29.51,    0.0,  141.04,  138.58,  145.19,  142.87,  114.37,  115.27,  118.25,  115.48,        ,    ,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:24,  -06:00,       ,             ,             ,        , 30.19,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  16.66,  16.66,     0.00,     3.95,  141.06,    0.21,  29.51,    0.0,  141.01,  138.55,  145.15,  142.84,  114.35,  115.24,  118.20,  115.44,        ,    ,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:25,  -06:00,       ,             ,             ,        , 30.19,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  16.66,  16.66,     0.00,     3.95,  141.06,    0.21,  29.51,    0.0,  141.00,  138.53,  145.15,  142.83,  114.33,  115.24,  118.17,  115.41,        ,    ,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:26,  -06:00,       ,             ,             ,        , 30.19,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  16.66,  16.66,     0.00,     3.95,  141.05,    0.21,  29.51,    0.0,  141.01,  138.54,  145.16,  142.85,  114.31,  115.26,  118.20,  115.44,        ,   0,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:27,  -06:00,       ,             ,             ,   636.6, 30.19,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  16.66,  16.66,     0.00,     3.95,  141.05,    0.22,  29.51,    0.0,  140.99,  138.51,  145.13,  142.82,  114.29,  115.22,  118.17,  115.40,        ,   0,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:28,  -06:00,       ,             ,             ,   636.6, 30.19,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  16.66,  16.66,     0.00,     3.95,  141.05,    0.22,  29.51,    0.0,  141.03,  138.54,  145.17,  142.85,  114.33,  115.26,  118.22,  115.44,        ,   0,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:33,  -06:00,       ,             ,             ,   636.6, 30.19,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  16.66,  16.66,     0.00,     3.94,  141.04,    0.21,  29.51,    0.0,  140.97,  138.50,  145.12,  142.81,  114.30,  115.20,  118.15,  115.40,        ,   0,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:34,  -06:00,       ,             ,             ,   636.6, 30.19,        ,  28.2,   0.00,       ,    4.60,       ,       ,       ,       ,      ,      ,  25.3,  16.66,  16.66,     0.00,     3.94,  141.04,    0.21,  29.51,    0.0,  140.98,  138.50,  145.12,  142.80,  114.31,  115.20,  118.17,  115.41,        ,   0,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:35,  -06:00,       ,             ,             ,   636.6, 30.19,        ,  28.2,   0.00,       ,   13.16,       ,       ,       ,       ,      ,      ,  25.3,  16.66,  16.66,     0.00,     3.94,  141.03,    0.21,  29.51,    0.0,  140.95,  138.47,  145.09,  142.78,  114.27,  115.17,  118.13,  115.38,        ,   0,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:36,  -06:00,       ,             ,             ,   636.6, 30.19,        ,  28.2,   0.00,       ,   15.90,       ,       ,       ,       ,      ,      ,  25.3,  16.66,  16.66,     0.00,     3.94,  141.03,    0.22,  29.51,    0.0,  140.96,  138.48,  145.10,  142.79,  114.26,  115.18,  118.13,  115.41,        ,   0,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:37,  -06:00,       ,             ,             ,   636.6, 30.19,        ,  28.2,   0.00,       ,    4.60,       ,       ,       ,       ,      ,      ,  25.3,  16.66,  16.66,     0.00,     3.94,  141.03,    0.22,  29.51,    0.0,  140.95,  138.48,  145.10,  142.79,  114.26,  115.19,  118.13,  115.42,        ,   0,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:38,  -06:00,       ,             ,             ,   637.6, 30.19,        ,  28.2,   0.00,       ,   11.29,       ,       ,       ,       ,      ,      ,  25.3,  16.66,  16.66,     0.00,     3.94,  141.02,    0.21,  29.51,    0.0,  140.94,  138.47,  145.09,  142.78,  114.24,  115.20,  118.10,  115.40,        ,   0,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:39,  -06:00,       ,             ,             ,   637.6, 30.19,        ,  28.2,   0.00,       ,    2.26,       ,       ,       ,       ,      ,      ,  25.3,  16.66,  16.66,     0.00,     3.93,  141.02,    0.21,  29.51,    0.0,  140.94,  138.46,  145.08,  142.77,  114.24,  115.19,  118.11,  115.40,        ,   0,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:40,  -06:00,       ,             ,             ,   637.6, 30.19,        ,  28.2,   0.00,       ,    4.88,       ,       ,       ,       ,      ,      ,  25.3,  16.66,  16.66,     0.00,     3.94,  141.01,    0.21,  29.51,    0.0,  140.90,  138.43,  145.04,  142.74,  114.21,  115.16,  118.04,  115.34,        ,   0,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:41,  -06:00,       ,             ,             ,   637.6, 30.19,        ,  28.2,   0.00,       ,   15.41,       ,       ,       ,       ,      ,      ,  25.3,  16.66,  16.66,     0.00,     3.93,  141.01,    0.21,  29.51,    0.0,  140.88,  138.41,  145.02,  142.72,  114.18,  115.14,  118.03,  115.32,        ,   0,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:42,  -06:00,       ,             ,             ,   637.6, 30.19,        ,  28.2,   0.00,       ,   15.98,       ,       ,       ,       ,      ,      ,  25.3,  16.66,  16.66,     0.00,     3.93,  141.00,    0.21,  29.51,    0.0,  140.84,  138.37,  145.00,  142.68,  114.15,  115.07,  118.00,  115.28,        ,   0,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:43,  -06:00,       ,             ,             ,   637.6, 30.19,        ,  28.2,   0.00,       ,   16.00,       ,       ,       ,       ,      ,      ,  25.3,  16.66,  16.66,     0.00,     3.93,  141.00,    0.21,  29.51,    0.0,  140.87,  138.41,  145.03,  142.72,  114.18,  115.13,  118.04,  115.33,        ,   0,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:44,  -06:00,       ,             ,             ,   638.6, 30.19,        ,  28.2,   0.00,       ,   13.52,       ,       ,       ,       ,      ,      ,  25.3,  16.66,  16.66,     0.00,     3.93,  141.00,    0.21,  29.51,    0.0,  140.88,  138.41,  145.03,  142.72,  114.17,  115.14,  118.03,  115.34,        ,   0,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:45,  -06:00,       ,             ,             ,   638.6, 30.19,        ,  28.2,   0.00,       ,    2.47,       ,       ,       ,       ,      ,      ,  25.3,  16.66,  16.66,     0.00,     3.93,  140.99,    0.21,  29.51,    0.0,  140.85,  138.38,  144.99,  142.68,  114.14,  115.11,  117.98,  115.31,        ,   0,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2013-10-09, 14:12:46,  -06:00,       ,             ,             ,   638.6, 30.19,        ,  28.2,   0.00,       ,   13.42,       ,       ,       ,       ,      ,      ,  25.3,  16.66,  16.66,     0.00,     3.92,  140.99,    0.21,  29.51,    0.0,  140.82,  138.37,  144.98,  142.67,  114.14,  115.09,  117.96,  115.31,        ,   0,  GPS,    6.1, 111.90, 111.90, 123.075, 126.750,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
